"YieldM","Yieldsd","Id","PLANTED","HARVESTED","POPULATION","PC","ROWWIDTH","Soil","TILLAGE","HERBICIDE","FUNGICIDE","INSECTICIDE","Latitude","Longitude","Family","State","pYear"
262.18,10.86,"79408",201-04-27,201-09-15,34000," Corn",30," Silt Loam"," Field Cultivation / Disk-Rip"," Volley ATZ",NA,NA,40.47,-89.15,"Corn","IL",201
201.23,12.82,"79410",201-05-03,201-10-07,36000," Soybeans",30," Clay Loam"," Conv.-Till"," 3.0 qt Acuron®",NA,NA,40.46,-82.55,"Corn","OH",201
237.5,NA,"79418",201-04-26,201-09-12,35500," Soybeans",30," Silty Clay Loam"," Chisel / Field Cultivation"," 2 qts Atrazine, 2.99 pts Resicore",NA,NA,40.86,-91.33,"Corn","IA",201
265.8,9.87,"79419",201-05-02,201-10-25,33000," Soybeans",30," Clay Loam"," Field Cultivation"," 2 Qt. Halex® GT",NA,NA,40.71,-85.26,"Corn","IN",201
242.5,16.23,"79421",201-05-01,201-10-11,35700," Soybeans",30," Silt Loam"," Field Cultivation"," Halex® GT, Atrazine",NA,NA,41.01,-89.63,"Corn","IL",201
252.68,11.53,"79424",201-04-30,201-09-21,34000," Soybeans",30," Clay Loam"," Strip-Till"," None",NA,NA,40.67,-91.54,"Corn","IA",201
175.71,20.71,"79428",2018-04-30,2018-09-26,29500," Corn",30," Loamy Sand"," Min.-Till"," None",NA,NA,38.34,-94.53,"Corn","MO",2018
171.37,10.75,"79430",201-04-30,201-09-26,29500," Soybeans",30," Loamy Sand"," Min.-Till"," None",NA,NA,38.34,-94.53,"Corn","MO",201
80.3,4.6,"79431",2018-04-30,2018-10-25,140000," Corn",30," Loam"," Strip-Till"," Sharpen®, Buccaneer",NA,NA,39.67,-83.66,"Soybean","OH",2018
186.82,3.13,"79434",2018-04-30,2018-09-18,36000," Soybeans",30," Silt Loam"," Conv.-Till"," Halex® GT",NA,NA,40.58,-88.63,"Corn","IL",2018
240.99,11.72,"79437",201-05-01,201-10-01,34000," Soybeans",30," Clay Loam"," Conv.-Till"," 2 oz Bicep II Magnum",NA,NA,40.26,-85.58,"Corn","IN",201
225.23,13.31,"79439",2018-05-05,2018-10-27,34000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,44.41,-94.79,"Corn","MN",2018
220.68,14.05,"79440",2018-05-02,2018-09-26,36000," Corn",30," Sandy Loam"," Field Cultivation / Conv.-Till / Disk-Rip"," None",NA,NA,45.42,-94,"Corn","MN",2018
224.33,12.98,"79441",2018-05-03,2018-10-13,35000," Soybeans",30," Sandy Loam"," Field Cultivation"," None",NA,NA,45.36,-93.9,"Corn","MN",2018
226.52,16.99,"79442",201-05-04,201-10-02,36000," Soybeans",30," Sandy Loam"," Field Cultivation"," None",NA,NA,45.52,-93.97,"Corn","MN",201
224.03,6.76,"79443",2018-05-05,2018-10-15,35000," Soybeans",30," Sandy Loam"," Field Cultivation"," None",NA,NA,45.35,-93.84,"Corn","MN",2018
224.09,9.51,"79446",201-05-05,201-10-15,32000," Soybeans",30," Sandy Clay Loam"," Strip-Till"," None",NA,NA,45.58,-93.82,"Corn","MN",201
64.24,2.75,"79448",2018-05-01,2018-10-19,140000," Corn",20," Silty Clay Loam"," No-Till"," XtendiMax®",NA,NA,39.92,-95.71,"Soybean","KS",2018
60.58,4.37,"79449",2018-04-28,2018-10-20,120000," Corn",20," Silty Clay Loam"," No-Till"," 1 qt Prefix",NA,NA,39.92,-95.6,"Soybean","KS",2018
200.43,18.49,"79450",201-04-28,201-09-26,31000," Soybeans",30," Clay Loam"," No-Till"," 1 qt Aatrex 4L",NA,NA,39.78,-95.32,"Corn","KS",201
235.82,8.57,"79452",201-05-01,201-09-28,35000," Soybeans",30," Silty Clay Loam"," Conv.-Till"," Callisto®",NA,NA,39.68,-88.32,"Corn","IL",201
237.53,13.35,"79453",201-05-05,201-09-18,36300," Soybeans",30," Silt Loam"," Strip-Till"," Callisto®",NA,NA,39.87,-87.99,"Corn","IL",201
77.08,10.91,"79455",2018-04-30,2018-09-28,135000," Corn",30," Silt Loam"," Chisel"," Cobra®",NA,NA,39.7,-88.46,"Soybean","IL",2018
80.97,2.47,"79456",2018-05-05,2018-10-01,160000," Corn",15," Silt Loam"," No-Till"," Liberty®",NA,NA,39.87,-87.99,"Soybean","IL",2018
205.48,8.9,"79459",201-05-07,201-10-02,33600," Soybeans",30," Sandy Loam"," Conv.-Till"," Roundup",NA,NA,44.04,-94.41,"Corn","MN",201
86.06,5.82,"79460",2018-04-28,2018-09-13,31500," Soybeans",30," Silt Loam"," Conv.-Till"," 32 oz Atrazine, 32 oz Roundup",NA,NA,37.97,-94.29,"Corn","MO",2018
71.35,2.84,"79462",2018-04-29,2018-10-24,145000," Corn",30," Clay Loam"," No-Till"," Buccaneer, Verdict®, Dual II Magnum®",NA,NA,42.84,-90.57,"Soybean","WI",2018
113.91,9.5,"79469",201-04-18,201-09-20,24500," Soybeans",30," Clay Loam"," Strip-Till"," 32 oz SureStart, 64 oz Atrazine",NA,NA,37.33,-95.45,"Corn","KS",201
233.18,12.74,"79472",201-05-07,201-10-13,36000," Soybeans",30," Sandy Loam"," Field Cultivation"," None",NA,NA,45.38,-93.85,"Corn","MN",201
232.82,8.84,"79474",201-05-05,201-10-10,30000," Soybeans",36," Clay Loam"," No-Till"," Roundup",NA,NA,39.45,-85.7,"Corn","IN",201
235.72,15.6,"79475",201-05-05,201-10-04,35993," Soybeans",22," Silt Loam"," Conv.-Till"," None",NA,NA,44.12,-96.95,"Corn","SD",201
218.08,10.12,"79477",201-05-07,201-10-12,32000," Soybeans",30," Clay Loam"," Conv.-Till"," None",NA,NA,45.75,-96.9,"Corn","SD",201
219.53,10.52,"79478",2018-05-07,2018-11-15,30000," Soybeans",30," Silt Loam"," Conv.-Till"," None",NA,NA,44.8,-97.77,"Corn","SD",2018
220.41,15.69,"79479",2018-05-08,2018-09-24,35000," Corn",30," Sandy Loam"," Disk-Rip"," None",NA,NA,45.41,-94.19,"Corn","MN",2018
59.6,4.46,"79480",2018-05-08,2018-10-24,180000," Corn",7.5," Clay Loam"," No-Till"," Roundup, Liberty®",NA,NA,39.45,-85.71,"Soybean","IN",2018
191.84,36.48,"79482",2018-05-08,2018-11-09,33000," Soybeans",30," Silty Clay Loam"," No-Till"," Roundup, Atrazine, 2,4-D",NA,NA,41.46,-95.47,"Corn","IA",2018
245,NA,"79485",201-04-28,201-09-20,33000," Soybeans",30," Silty Clay Loam"," Field Cultivation / Conv.-Till"," Acuron®, Generic Glyphosate, Callisto®",NA,NA,41.92,-95.56,"Corn","IA",201
226.87,10.21,"79486",201-05-06,201-10-04,34000," Soybeans",30," Clay Loam"," Conv.-Till"," Generic Glyphosate",NA,NA,45.27,-94.57,"Corn","MN",201
68.86,3.48,"79489",2018-05-09,2018-10-19,130000," Corn",30," Silt Loam"," No-Till"," Generic Glyphosate, Outlook®, Liberty®",NA,NA,40.59,-89.52,"Soybean","IL",2018
70.46,1.87,"79490",2018-05-08,2018-10-19,130000," Soybeans",30," Silty Clay Loam"," No-Till"," Generic Glyphosate, Outlook®, Liberty®",NA,NA,40.63,-89.45,"Soybean","IL",2018
74.48,2.77,"79496",2018-05-02,2018-10-21,150000," Corn",15," Clay Loam"," No-Till"," Liberty®",NA,NA,40.49,-88.56,"Soybean","IL",2018
204.32,10.01,"79498",201-05-09,201-11-21,34000," Soybeans",30," Silty Clay Loam"," No-Till"," SureStart, Callisto®, Roundup",NA,NA,42.08,-95.21,"Corn","IA",201
253.75,17.7,"79501",201-05-07,201-09-17,32000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,40.38,-84.73,"Corn","OH",201
74.13,2.79,"79503",2018-05-07,2018-10-03,130000," Corn",30," Clay"," Field Cultivation"," None",NA,NA,40.38,-84.73,"Soybean","OH",2018
211.03,11.68,"79504",201-05-08,201-10-16,31400," Soybeans",30," Clay Loam"," No-Till"," Corvus®",NA,NA,38.74,-86.49,"Corn","IN",201
203.34,6.26,"79506",201-05-01,201-09-20,31500," Soybeans",30," Sandy Clay Loam"," No-Till"," Halex® GT",NA,NA,38.71,-87.46,"Corn","IN",201
160.96,16.26,"79510",2018-05-09,2018-11-19,25000," Soybeans",30," Silt Loam"," No-Till"," None",NA,NA,44.76,-98.95,"Corn","SD",2018
189.04,9.92,"79511",2018-05-08,2018-09-20,30000," Soybeans",30," Clay"," No-Till"," 3 qt/a Lexar® EZ",NA,NA,38.63,-88.2,"Corn","IL",2018
234.79,17.52,"79520",201-05-08,201-10-17,34300," Corn",30," Clay Loam"," Conv.-Till"," Acuron®, Roundup",NA,NA,43.29,-92.57,"Corn","IA",201
67.48,3.23,"79521",2018-05-10,2018-10-01,140000," Corn",30," Silty Clay Loam"," Conv.-Till"," None",NA,NA,41.17,-88.63,"Soybean","IL",2018
61.08,2.69,"79522",2018-05-08,2018-10-18,150000," Corn",30," Silty Clay Loam"," Conv.-Till"," Liberty®",NA,NA,41.15,-88.8,"Soybean","IL",2018
224.13,14.94,"79525",201-05-10,201-10-25,32500," Soybeans",30," Silty Clay Loam"," Min.-Till"," Atrazine, SureStart, Callisto®",NA,NA,42.08,-95.57,"Corn","IA",201
62.21,8.49,"79526",2018-05-10,2018-10-25,145000," Corn",30," Silty Clay Loam"," No-Till"," Liberty®, Roundup",NA,NA,42.08,-95.57,"Soybean","IA",2018
141.47,13.67,"79527",2018-05-03,2018-11-02,32500," Soybeans",30," Sandy Loam"," Strip-Till"," Degree Xtra, Roundup",NA,NA,41.89,-83.91,"Corn","MI",2018
67.32,1.87,"79528",201-05-08,201-10-17,145000," Corn",15," Sandy Loam"," No-Till"," Optill, Roundup",NA,NA,41.89,-83.88,"Soybean","MI",201
206.75,15.23,"79529",201-05-08,201-09-04,29000," Soybeans",30," Clay"," Field Cultivation"," 4 oz. Anthem® Maxx",NA,NA,38.38,-88.02,"Corn","IL",201
67.69,3.41,"79531",201-05-09,201-10-18,130000," Corn",15," Sandy Loam"," No-Till"," Liberty®, Sharpen®, Roundup",NA,NA,41.87,-83.87,"Soybean","MI",201
228.48,16.39,"79540",2018-05-02,2018-10-17,34000," Soybeans",30," Loamy Sand"," No-Till"," 4 Outlook®, 1 Armezon",NA,NA,41.55,-92.49,"Corn","IA",2018
167.2,21.58,"79541",201-04-28,201-09-04,32000," Corn",30," Loam"," Conv.-Till"," 2 Qt. Keystone",NA,NA,41.2,-92.64,"Corn","IA",201
215.89,5.64,"79544",2018-05-11,2018-10-06,32000," Soybeans",30," Clay Loam"," No-Till"," None",NA,NA,39.58,-85.79,"Corn","IN",2018
282.48,5.69,"79545",2018-05-03,2018-10-17,34000," Soybeans",30," Loam"," Field Cultivation"," Acuron®, Atrazine",NA,NA,41.62,-90.9,"Corn","IA",2018
259.1,NA,"79546",201-05-01,201-09-17,36500," Soybeans",30," Loam"," Field Cultivation"," Fultime, Resicore, Durango, Atrazine",NA,NA,41.71,-90.77,"Corn","IA",201
239,NA,"79547",201-05-09,201-09-28,34000," Corn",30," Loam"," Chisel / Field Cultivation"," 5.6 oz Corvus®, 1.5 qt Atrazine",NA,NA,42.29,-90.47,"Corn","IA",201
224.89,15.65,"79551",201-05-10,201-09-26,34000," Soybeans",30," Silty Clay Loam"," Strip-Till"," Roundup, 2,4-D, Status",NA,NA,40.59,-89.52,"Corn","IL",201
197.06,21.51,"79552",201-05-10,201-10-11,32000," Soybeans",30," Clay"," Field Cultivation"," Roundup, Callisto®, Atrazine",NA,NA,40.83,-89.41,"Corn","IL",201
63.44,3.37,"79555",2018-05-11,2018-10-17,135500," Corn",30," Clay Loam"," Field Cultivation"," Upfront, Liberty®",NA,NA,40.84,-89.4,"Soybean","IL",2018
251.1,NA,"79558",201-05-07,201-10-16,35000," Corn",30," Silt Loam"," Vertical-Till"," Halex® GT, Harness, Roundup",NA,NA,42.09,-93,"Corn","IA",201
251.46,6.02,"79559",2018-05-10,2018-10-04,35000," Soybeans",30," Clay"," No-Till / Vertical-Till"," Halex® GT, Harness, Roundup Original",NA,NA,42.14,-93,"Corn","IA",2018
178.43,12.46,"79560",201-05-11,201-10-31,34000," Corn",30," Sandy Clay Loam"," Disc"," None",NA,NA,41.26,-91.25,"Corn","IA",201
256.3,9.41,"79567",201-05-01,201-09-25,32000," Soybeans",30," Clay Loam"," Field Cultivation"," Acuron®",NA,NA,41.02,-85.43,"Corn","IN",201
263.41,9.72,"79570",201-04-27,201-10-01,34000," Soybeans",30," Silty Clay Loam"," Field Cultivation"," Roundup, Verdict®, Atrazine",NA,NA,40.13,-88.74,"Corn","IL",201
92.82,5.31,"79571",2018-04-27,2018-10-19,150000," Corn",30," Silty Clay Loam"," Chisel / Field Cultivation"," Roundup, Liberty®, Boundary® 6.5 EC",NA,NA,40.13,-88.76,"Soybean","IL",2018
240.42,10.57,"79572",201-04-27,201-10-16,35000," Soybeans",30," Silty Clay Loam"," V-Rip / Field Cultivation"," Atrazine, Callisto®, Roundup",NA,NA,40.06,-89.16,"Corn","IL",201
261.43,13.18,"79573",201-04-28,201-09-12,36000," Soybeans",30," Silty Clay Loam"," V-Rip / Field Cultivation"," Callisto®, Atrazine, Clarity",NA,NA,39.73,-88.47,"Corn","IL",201
246.02,13.91,"79574",2018-04-30,2018-10-01,35000," Soybeans",30," Silty Clay Loam"," Chisel / Field Cultivation"," Callisto®, Atrazine",NA,NA,40.35,-89.21,"Corn","IL",2018
244.62,15.39,"79577",201-05-08,201-10-04,34000," Soybeans",30," Silt Loam"," Min.-Till"," Resicore",NA,NA,42.72,-90.1,"Corn","WI",201
72.25,4.06,"79579",2018-05-05,2018-10-17,145000," Corn",30," Silty Clay Loam"," Chisel / Field Cultivation"," Boundary® 6.5 EC, Roundup, Liberty®",NA,NA,39.79,-88.47,"Soybean","IL",2018
88.92,2.97,"79580",2018-05-08,2018-10-09,142000," Corn",30," Silty Clay Loam"," Chisel / Field Cultivation"," Cobra®, Boundary® 6.5 EC",NA,NA,39.89,-88.67,"Soybean","IL",2018
241.17,10.43,"79581",201-05-08,201-10-01,35500," Corn",30," Clay Loam"," Disc"," Harness Xtra, Roundup",NA,NA,39.82,-88.82,"Corn","IL",201
71.64,2.93,"79582",2018-05-08,2018-10-01,151000," Corn",30," Silty Clay"," No-Till"," Boundary® 6.5 EC, Liberty®",NA,NA,39.82,-88.82,"Soybean","IL",2018
68.16,1.08,"79583",2018-05-12,2018-10-01,150000," Corn",30," Silty Clay Loam"," Field Cultivation"," Boundary® 6.5 EC, Liberty®",NA,NA,40.04,-88.85,"Soybean","IL",2018
188.18,9.49,"79584",2018-05-08,2018-10-31,32000," Corn",30," Clay Loam"," Conv.-Till"," Callisto®, Buccaneer",NA,NA,43,-90.66,"Corn","WI",2018
266.6,18.52,"79585",201-04-25,201-10-14,37000," Soybeans",30," Silt Loam"," Strip-Till"," Verdict®"," Stratego YLD",NA,42.68,-90.29,"Corn","WI",201
234.1,NA,"79586",201-04-27,201-09-23,31000," Soybeans",30," Silty Clay Loam"," Field Cultivation"," 2.5 qt Halex® GT, 1 qt Aatrex 4L",NA,NA,40.89,-93.69,"Corn","IA",201
171.36,11.17,"79588",201-04-30,201-10-03,32000," Soybeans",30," Silty Clay Loam"," Field Cultivation"," 2.4 qt Harness Xtra",NA,NA,40.83,-93.29,"Corn","IA",201
243.89,3.99,"79590",2018-05-07,2018-10-25,33000," Soybeans",30," Loam"," Field Cultivation"," 2.3 qts Harness Xtra",NA,NA,42.68,-91.96,"Corn","IA",2018
247.12,16.49,"79591",201-05-08,201-10-24,33500," Soybeans",30," Silt Loam"," Min.-Till"," Roundup",NA,NA,41.9,-92.63,"Corn","IA",201
186.62,12.57,"79592",201-04-30,201-09-15,32000," Soybeans",36," Silty Clay Loam"," Field Cultivation"," None",NA,NA,40.93,-93.18,"Corn","IA",201
201.3,6.9,"79593",201-05-10,201-10-22,34000," Corn",30," Loam"," Conv.-Till"," None",NA,NA,42.53,-91.89,"Corn","IA",201
262.41,15.99,"79594",2018-05-07,2018-10-03,34000," Soybeans",30," Silt Loam"," Field Cultivation"," Corvus®, Roundup, Callisto®",NA,NA,41.54,-91.4,"Corn","IA",2018
248.55,25.71,"79595",201-05-08,201-10-03,33500," Soybeans",30," Silt Loam"," Field Cultivation"," Corvus®, Roundup",NA,NA,41.6,-91.16,"Corn","IA",201
210.54,9.21,"79598",201-05-08,201-10-18,32500," Soybeans",30," Clay Loam"," Conv.-Till"," 4 oz Zidua®",NA,NA,41,-85.51,"Corn","IN",201
248.61,14.87,"79602",201-05-07,201-10-15,34000," Soybeans",30," Clay Loam"," Chisel"," Resicore",NA,NA,40.89,-85.67,"Corn","in",201
168.55,11.94,"79605",201-05-11,201-10-22,30000," Soybeans",30," Clay"," Field Cultivation / Disc"," Roundup",NA,NA,38.9,-85.86,"Corn","IN",201
61.39,4.27,"79607",2018-05-08,2018-10-31,140000," Corn",15," Silty Clay Loam"," Field Cultivation"," Authority® First, Liberty®",NA,NA,40.93,-93.17,"Soybean","IA",2018
210.74,24.72,"79608",201-05-08,201-09-26,29000," Soybeans",30," Silty Clay Loam"," No-Till"," 2.5 qt Keystone, 1qt Aatrex 4L",NA,NA,40.91,-93.03,"Corn","IA",201
70.96,4.26,"79609",2018-05-11,2018-10-03,150000," Corn",15," Clay Loam"," No-Till"," 2,4-D, Ledger",NA,NA,40.87,-84.32,"Soybean","OH",2018
203.19,9.09,"79610",201-05-07,201-11-07,31000," Soybeans",30," Silty Clay Loam"," No-Till"," 3pts SureStart, 3pts Keystone",NA,NA,40.86,-93.55,"Corn","IA",201
237.46,11.14,"79615",201-05-10,201-11-14,33500," Soybeans",20," Silt Loam"," No-Till"," 24 oz Buccaneer, 3 oz Callisto®",NA,NA,42.26,-95.84,"Corn","IA",201
246.22,14.49,"79625",201-05-08,201-10-27,34000," Corn",30," Silt Loam"," Vertical-Till"," Roundup",NA,NA,42.18,-90.04,"Corn","IL",201
78.48,5.63,"79627",2018-05-10,2018-10-22,130000," Corn",30," Silt Loam"," No-Till"," Roundup",NA,NA,41.86,-90.02,"Soybean","IL",2018
158.65,13.22,"79628",201-05-12,201-09-12,32000," Soybeans",30," Sandy Clay Loam"," Vertical-Till"," Atrazine, Roundup",NA,NA,37.95,-88.39,"Corn","IL",201
143.6,NA,"79630",201-05-14,201-10-16,30000," Soybeans",30," Clay Loam"," No-Till"," SureStart, Atrazine, Roundup, Impact",NA,NA,38.11,-88.52,"Corn","IL",201
209.96,17.86,"79631",201-05-16,201-09-27,30000," Soybeans",30," Sandy Loam"," No-Till"," Armezon® Pro",NA,NA,37.91,-89.89,"Corn","MO",201
207.29,12.21,"79633",2018-05-14,2018-10-30,32000," Corn",30," Sandy Loam"," Conv.-Till"," TripleFLEX",NA,NA,45.89,-96.65,"Corn","SD",2018
225.54,13.42,"79635",201-04-27,201-09-21,29000," Soybeans",30," Silt Loam"," Conv.-Till"," Acuron®, Atrazine",NA,NA,38.98,-93.45,"Corn","MO",201
145,NA,"79638",201-04-24,201-09-29,31000," Soybeans",30," Silt Loam"," Conv.-Till"," Realm Q, Roundup PowerMAX®",NA,NA,38.99,-93.57,"Corn","MO",201
184.96,8.04,"79639",201-04-26,201-09-30,32000," Soybeans",30," Clay Loam"," No-Till"," Halex® GT",NA,NA,38.86,-93.32,"Corn","MO",201
224.62,8.09,"79644",201-05-16,201-10-31,33900," Corn",22," Loam"," Field Cultivation / Disk-Rip / In-Line Rip"," 2.25 pt Acuron®",NA,NA,45.02,-95.33,"Corn","MN",201
211.3,21.21,"79645",2018-05-06,2018-09-23,32500," Soybeans",30," Clay Loam"," Vertical-Till"," 1pt 2,4-D, 1Qt Buccaneer",NA,NA,39.37,-84.14,"Corn","OH",2018
67.76,3.02,"79647",2018-05-16,2018-10-22,156000," Corn",15," Sandy Clay Loam"," No-Till"," Liberty®",NA,NA,40.94,-87.49,"Soybean","IN",2018
262.57,25.27,"79648",201-05-01,201-10-19,36000," Soybeans",20," Clay Loam"," In-Line Rip / Vertical-Till"," None",NA,NA,40.58,-86.08,"Corn","IN",201
68.97,2.8,"79649",2018-05-05,2018-10-23,140000," Soybeans",30," Clay Loam"," Field Cultivation"," XtendiMax®",NA,NA,40.4,-86.39,"Soybean","IN",2018
187.56,11.78,"79652",201-05-04,201-10-16,34000," Soybeans",30," Clay Loam"," No-Till"," Acuron®, Durango, Simazine",NA,NA,41.13,-82.29,"Corn","OH",201
213.7,15.17,"79654",201-05-05,201-10-13,33000," Soybeans",30," Silt Loam"," Chisel / S-Tine"," None",NA,NA,41.28,-82.63,"Corn","OH",201
48.56,2.94,"79656",2018-05-17,2018-11-18,155000," Soybeans",30," Silt Loam"," Min.-Till"," None",NA,NA,38.28,-94.38,"Soybean","MO",2018
64.73,1.95,"79657",2018-05-17,2018-11-28,145000," Corn",30," Loam"," Conv.-Till"," XtendiMax®",NA,NA,40.77,-91.77,"Soybean","IA",2018
213.46,9.84,"79658",201-05-17,201-10-16,32000," Soybeans",30," Clay Loam"," Conv.-Till"," None",NA,NA,44.58,-96.54,"Corn","SD",201
225.01,11.8,"79659",201-05-09,201-11-12,35000," Soybeans",30," Clay Loam"," Conv.-Till"," Authority® MTZ DF",NA,NA,44.2,-96.87,"Corn","SD",201
225.8,NA,"79661",201-05-03,201-09-21,31847," Soybeans",30," Clay Loam"," No-Till"," Roundup PowerMAX®, Atrazine",NA," None",35.64,-84.69,"Corn","TN",201
254.49,11.9,"79665",201-04-25,201-10-15,35000," Soybeans",30," Clay Loam"," Field Cultivation"," Bicep II Magnum",NA,NA,40.02,-89.44,"Corn","IL",201
147.7,10.45,"79672",2018-05-19,2018-11-07,25000," Soybeans",30," Sandy Clay Loam"," No-Till"," None",NA,NA,44.84,-99.05,"Corn","SD",2018
225.22,13.82,"79674",201-05-10,201-10-16,35300," Soybeans",30," Silty Clay Loam"," Conv.-Till"," DiFlexx®",NA,NA,43.22,-93.89,"Corn","IA",201
293.4,NA,"79677",201-04-25,201-09-29,36000," Corn",30," Silt Loam"," Field Cultivation"," SureStart, Atrazine, Callisto®, Roundup",NA,NA,40.84,-87.45,"Corn","IN",201
221.18,13.73,"79678",201-05-01,201-10-19,32000," Soybeans",30," Loamy Sand"," Field Cultivation"," Corvus®",NA,NA,41.33,-87.01,"Corn","IN",201
213.98,13.4,"79682",201-05-15,201-11-01,26000," Soybeans",30," Sandy Clay Loam"," No-Till"," None",NA,NA,43.73,-98.95,"Corn","SD",201
183.06,15.94,"79685",201-05-17,201-11-12,32000," Soybeans",30," Sandy Loam"," Conv.-Till"," None",NA,NA,44.15,-96.95,"Corn","SD",201
209.93,13.55,"79686",201-05-17,201-10-25,33000," Corn",30," Silty Clay Loam"," Moldboard / Disc"," Roundup",NA,NA,42.41,-94.63,"Corn","IA",201
182.17,14.1,"79688",201-05-18,201-10-17,34000," Soybeans",30," Silty Clay Loam"," Conv.-Till"," None",NA,NA,41.09,-88.43,"Corn","IL",201
226.56,14.59,"79689",201-05-07,201-09-29,34000," Soybeans",30," Silt Loam"," Min.-Till"," Resicore"," V5 Quilt Xcel",NA,42.49,-89.68,"Corn","IL",201
200.04,12.29,"79693",2018-05-19,2018-10-30,36000," Soybeans",30," Silty Clay Loam"," Min.-Till"," Keystone, Durango, Armezon® Pro"," Stratego YLD",NA,43,-90.3,"Corn","WI",2018
222.49,13.52,"79695",201-05-18,201-11-15,34000," Soybeans",30," Silt Loam"," Min.-Till"," Roundup PowerMAX®, TripleFLEX",NA,NA,43.25,-89.52,"Corn","WI",201
216.21,12.18,"79700",201-05-17,201-10-26,35000," Corn",30," Clay Loam"," Conv.-Till"," Roundup, Atrazine",NA,NA,43.02,-91.49,"Corn","IA",201
63.27,3.37,"79705",2018-05-19,2018-10-17,151000," Corn",22," Loam"," Field Cultivation / Disk-Rip"," 4 oz Authority® First",NA,NA,45.02,-95.33,"Soybean","MN",2018
244.99,9.7,"79707",201-05-08,201-10-01,33500," Soybeans",30," Silty Clay Loam"," Chisel / Field Cultivation"," Lumax",NA,NA,40.75,-87.49,"Corn","IN",201
212.43,16.98,"79709",2018-04-27,2018-09-19,30000," Soybeans",30," Clay Loam"," Field Cultivation"," 2.5 qt Acuron®",NA,NA,39.02,-88.21,"Corn","IL",2018
204.98,8.14,"79710",201-05-21,201-10-27,32670," Soybeans",30," Clay Loam"," Conv.-Till"," None",NA,NA,44.89,-97.02,"Corn","SD",201
234.58,10.76,"79713",201-05-11,201-09-22,35000," Corn",30," Clay Loam"," Field Cultivation"," 3 oz/A Capreno®",NA,NA,39.28,-87.67,"Corn","IL",201
207.58,13.31,"79715",201-04-29,201-09-17,32000," Soybeans",30," Clay Loam"," Field Cultivation"," 1.5 qt Halex® GT",NA,NA,38.97,-87.71,"Corn","IL",201
237.63,7.06,"79716",2018-04-30,2018-09-17,31000," Soybeans",30," Clay Loam"," Field Cultivation"," 20 fl oz Armezon® Pro",NA,NA,39.17,-88.14,"Corn","IL",2018
60.96,4.46,"79721",2018-05-11,2018-10-04,130000," Corn",30," Clay"," Field Cultivation"," 30 oz Liberty®",NA,NA,38.79,-87.68,"Soybean","IL",2018
182.43,9.44,"79722",2018-05-17,2018-10-02,35000," Soybeans",30," Clay Loam"," Conv.-Till"," Resicore",NA,NA,43.93,-94.97,"Corn","MN",2018
221.66,18.71,"79725",201-05-11,201-10-15,28000," Soybeans",30," Clay Loam"," Chisel / Field Cultivation"," Halex® GT, Atrazine",NA,NA,40.28,-87.08,"Corn","IN",201
208.39,17.64,"79730",201-05-01,201-09-26,33000," Soybeans",30," Silty Clay Loam"," No-Till"," 2.4 qt Harness Xtra",NA,NA,41.1,-92.57,"Corn","IA",201
239.37,7.92,"79734",2018-05-07,2018-10-18,32000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,39.72,-82.89,"Corn","OH",2018
205.41,8.12,"79736",201-05-07,201-09-30,32000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,39.79,-82.86,"Corn","OH",201
218.46,16.11,"79738",201-05-10,201-11-08,34000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,39.63,-83.7,"Corn","OH",201
240.69,20.26,"79740",2018-05-09,2018-10-18,32000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,39.72,-82.23,"Corn","OH",2018
243.95,14.27,"79741",201-05-11,201-10-18,33000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,39.88,-82.61,"Corn","OH",201
210.8,NA,"79742",201-05-02,201-09-04,34800," Soybeans",30," Clay Loam"," Disc"," Degree Xtra, Atrazine, Status, Roundup",NA,NA,37.6,-87.71,"Corn","KY",201
155.64,20.75,"79743",201-05-22,201-11-08,32000," Soybeans",30," Sandy Clay Loam"," Chisel / Disc"," Atrazine, Halex® GT",NA,NA,41.22,-86.5,"Corn","IN",201
65.76,5.58,"79744",2018-05-23,2018-10-01,140000," Corn",30," Clay Loam"," Chisel / Field Cultivation"," None",NA,NA,44.12,-88.58,"Soybean","WI",2018
209.07,7.81,"79745",2018-05-23,2018-10-01,34000," Soybeans",30," Silt Loam"," Field Cultivation"," None",NA,NA,44.08,-88.25,"Corn","WI",2018
222.6,21.14,"79746",201-05-23,201-10-01,34000," Alfalfa",30," Silt Loam"," Chisel / Field Cultivation"," None",NA,NA,43.93,-88.04,"Corn","WI",201
242.04,8.93,"79748",201-05-05,201-10-01,32500," Soybeans",30," Silty Clay Loam"," Field Cultivation / Conv.-Till"," None",NA,NA,41.01,-83.95,"Corn","OH",201
187.51,10.22,"79749",2018-05-17,2018-10-02,34000," Soybeans",30," Clay Loam"," Conv.-Till"," None",NA,NA,43.94,-94.97,"Corn","MN",2018
